audience,Gender,Age,Name,Score,Genre,Studio
A,Male,17,"Spy x Family, Horimiya","9.09,8.21","['Action', 'Comedy'],['Comedy', 'Romance', 'Slice of Life']","['Wit Studio', 'CloverWorks'],['CloverWorks']"
B,Male,16,"Violet Evergarden Movie, Ousama Ranking","8.95,8.67","['Drama', 'Fantasy', 'Slice of Life'], ['Adventure', 'Fantasy']","['Kyoto Animation'],['Wit Studio']"
C,Female,16,"Fruits Basket: The Final,  Jujutsu Kaisen (TV)","9.04,8.69","['Drama', 'Romance', 'Slice of Life', 'Supernatural'], ['Drama', 'Slice of Life']","['TMS Entertainment'],['MAPPA']"
D,Male,15,"Mahoutsukai no yome, Beastars","8.12,7.89","['Fantasy', 'Slice of Life'],['Drama', 'Slice of Life']","['Wit Studio'],['Orange']"
E,Female,17,"Gintama, Shingeki no Kyojin Season 3","9.08,8.62","['Action', 'Comedy', 'Sci-Fi'],['Action', 'Drama']","Bandai Namco Pictures'],['Wit Studio']"
F,Female,17,"Jujutsu Kaisen (TV),Fumetsu no Anata e","8.69,8.39","['Action', 'Fantasy'],['Adventure', 'Drama', 'Supernatural']","['MAPPA'],[""Brain's Base""]"
G,Female,18,"Shingeki no Kyojin Season 3 Part 2,Kimi no Na wa","9.08,8.87","['Action', 'Drama'],['Drama', 'Supernatural']","['Wit Studio'],['CoMix Wave Films']"
H,Male,16,"Black Lagoon: The Second Barrage, Great Teacher Onizuka","8.18,8.69","['Action'], ['Comedy', 'Drama']","['Madhouse'],['Studio Pierrot']"
I,Female,18,"Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Shingeki no Kyojin Season 3","8.79,8.62","['Sports'],['Adventure', 'Drama', 'Supernatural']","['Production I.G'],[""Brain's Base""]"
J,Male,17,"Made in Abyss, Cowboy bebop","8.68,8.76","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi'], ['Action', 'Sci-Fi']","['Kinema Citrus'],['Sunrise']"
